date,price,company
2022-03-07,104.72440338134766,3M
2022-03-08,106.27391052246094,3M
2022-03-09,107.15100860595703,3M
2022-03-10,105.1994857788086,3M
2022-03-11,103.0286865234375,3M
2022-03-14,104.87056732177734,3M
2022-03-15,105.47722625732422,3M
2022-03-16,106.35431671142578,3M
2022-03-17,107.94770050048828,3M
2022-03-18,108.40815734863281,3M
2022-03-21,108.59819030761719,3M
2022-03-22,109.59223937988281,3M
2022-03-23,107.94039154052734,3M
2022-03-24,108.89056396484375,3M
2022-03-25,109.97230529785156,3M
2022-03-28,109.24871826171875,3M
2022-03-29,111.1563720703125,3M
2022-03-30,110.68128967285156,3M
2022-03-31,108.81746673583984,3M
2022-04-01,109.40950012207031,3M
2022-04-04,109.29255676269531,3M
2022-04-05,108.83209991455078,3M
2022-04-06,109.85536193847656,3M
2022-04-07,109.59953308105469,3M
2022-04-08,109.4972152709961,3M
2022-04-11,109.72380065917969,3M
2022-04-12,108.59819030761719,3M
2022-04-13,108.65666961669922,3M
2022-04-14,107.72109985351562,3M
2022-04-18,106.84402465820312,3M
2022-04-19,109.70917510986328,3M
2022-04-20,110.06732177734375,3M
2022-04-21,110.9297866821289,3M
2022-04-22,109.02942657470703,3M
2022-04-25,108.6128158569336,3M
2022-04-26,105.41143798828125,3M
2022-04-27,105.40412139892578,3M
2022-04-28,107.54570007324219,3M
2022-04-29,105.41143798828125,3M
2022-05-02,106.64667510986328,3M
2022-05-03,108.23274230957031,3M
2022-05-04,112.7278060913086,3M
2022-05-05,109.24138641357422,3M
2022-05-06,109.29255676269531,3M
2022-05-09,111.37565612792969,3M
2022-05-10,108.99288940429688,3M
2022-05-11,107.01213836669922,3M
2022-05-12,109.33639526367188,3M
2022-05-13,109.12445068359375,3M
2022-05-16,110.00154113769531,3M
2022-05-17,111.34640502929688,3M
2022-05-18,108.85401153564453,3M
2022-05-19,108.4996337890625,3M
2022-05-20,106.18875885009766,3M
2022-05-23,106.59483337402344,3M
2022-05-24,107.6063003540039,3M
2022-05-25,107.63582611083984,3M
2022-05-26,108.5586929321289,3M
2022-05-27,110.38227844238281,3M
2022-05-31,110.2198486328125,3M
2022-06-01,108.1009521484375,3M
2022-06-02,109.40034484863281,3M
2022-06-03,107.76872253417969,3M
