ds,y,sentiment,sentiment_lag_1,sentiment_lag_2,sentiment_lag_3,sentiment_lag_4,sentiment_lag_5,sentiment_lag_6,sentiment_lag_7,ma5,ma10,rsi,macd,macd_signal,volatility,gold,oil,dxy,bond,vix,spy_volume
2020-06-18,8.044093602755103,-0.7565157621310601,-3.6810095493994726e-05,-0.8856778,-0.942830375,-0.446682107,-0.6281098968851,-0.6275378835517667,0.026645448836175006,3092.29404296875,3128.72099609375,57.69450838159948,48.694506452301994,61.3572661916548,36.37714883824896,1724.800048828125,38.84000015258789,97.41999816894531,0.6940000057220459,32.939998626708984,80828700.0
2020-06-19,8.038428089189429,-0.942830375,-0.7565157621310601,-3.6810095493994726e-05,-0.8856778,-0.942830375,-0.446682107,-0.6281098968851,-0.6275378835517667,3103.580029296875,3119.102001953125,55.515252889775184,45.031244333990344,58.09206182012191,22.83972456202716,1745.9000244140625,39.75,97.62000274658203,0.6970000267028809,35.119998931884766,135549600.0
2020-06-22,8.044902182486087,-0.29422282,-0.446682107,-0.8130599333810803,-0.942830375,-0.7565157621310601,-3.6810095493994726e-05,-0.8856778,-0.942830375,3113.834033203125,3107.6490234375,57.491971046800664,43.25301419546622,55.12425229519078,9.956831295000484,1756.699951171875,40.459999084472656,97.04000091552734,0.7039999961853027,31.770000457763672,74649400.0
2020-06-23,8.049200351677571,-0.44283889978883045,-0.29422282,-0.446682107,-0.8130599333810803,-0.942830375,-0.7565157621310601,-3.6810095493994726e-05,-0.8856778,3115.14404296875,3100.0600341796876,58.807732925884416,42.43823567997242,52.58704897214711,11.976493347525604,1772.0999755859375,40.369998931884766,96.69000244140625,0.7089999914169312,31.3700008392334,68471200.0
2020-06-24,8.023005086081909,-0.6305318546666666,-0.44283889978883045,-0.29422282,-0.446682107,-0.8130599333810803,-0.942830375,-0.7565157621310601,-3.6810095493994726e-05,3102.512060546875,3086.079052734375,48.96768759843924,34.85790536450031,49.041220250617755,31.519933456462432,1765.800048828125,38.0099983215332,97.1500015258789,0.6840000152587891,33.84000015258789,132813500.0
2020-06-25,8.033904913810126,-0.5770947041883564,-0.6305318546666666,-0.44283889978883045,-0.29422282,-0.446682107,-0.8130599333810803,-0.942830375,-0.7565157621310601,3096.196044921875,3094.2450439453123,52.50187072208707,31.188434218417115,45.47066304417763,31.470802645045616,1762.0999755859375,38.720001220703125,97.43000030517578,0.6740000247955322,32.220001220703125,89468000.0
2020-06-26,8.009379709535295,-0.446682107,-0.5770947041883564,-0.6305318546666666,-0.44283889978883045,-0.29422282,-0.446682107,-0.8130599333810803,-0.942830375,3078.458056640625,3091.01904296875,45.00126662273693,21.998299721845342,40.776190379711174,49.9512397323848,1772.5,38.4900016784668,97.5,0.6359999775886536,34.72999954223633,127961000.0
2020-06-29,8.023958597648829,-0.503834682,-0.6285534468851001,-0.33544623142882735,-0.446682107,-0.5770947041883564,-0.6305318546666666,-0.44283889978883045,-0.29422282,3065.534033203125,3089.684033203125,49.58878899116007,18.07248255355671,36.23544881448028,45.35631918940648,1774.800048828125,39.70000076293945,97.54000091552734,0.6359999775886536,31.780000686645508,79773300.0
2020-06-30,8.039250947084584,-0.446682107,-0.503834682,-0.6285534468851001,-0.33544623142882735,-0.446682107,-0.5770947041883564,-0.6305318546666666,-0.44283889978883045,3059.334033203125,3087.2390380859374,53.98932378596162,18.544025903111105,32.69716423220645,35.073887717089676,1793.0,39.27000045776367,97.38999938964844,0.652999997138977,30.43000030517578,113394800.0
2020-07-01,8.044260511060456,-0.5772606446666667,-0.446682107,-0.503834682,-0.6285534468851001,-0.33544623142882735,-0.446682107,-0.5770947041883564,-0.6305318546666666,3072.4400390625,3087.4760498046876,55.37750853307319,19.944197503047235,30.146570886374608,42.3556351326743,1773.199951171875,39.81999969482422,97.19999694824219,0.6819999814033508,28.6200008392334,72396500.0
2020-07-02,8.048791481537272,-0.6682018746666666,-0.5772606446666667,-0.446682107,-0.503834682,-0.6285534468851001,-0.33544623142882735,-0.446682107,-0.5770947041883564,3081.6900390625,3088.9430419921873,56.657337240502386,21.942680880811622,28.505792885262014,49.83559621397137,1784.0,40.650001525878906,97.31999969482422,0.6690000295639038,27.68000030517578,69344200.0
2020-07-06,8.064548412369435,-0.502311337,0.029341735000000008,-0.5011514010716205,-0.334874218095494,-0.6682018746666666,-0.5772606446666667,-0.446682107,-0.503834682,3115.8240234375,3097.1410400390623,60.90009641684195,27.223852138964958,28.249404736002607,45.9401824921816,1788.5,40.630001068115234,96.79000091552734,0.6840000152587891,27.940000534057617,61713800.0
2020-07-07,8.053670934499792,-0.6682018746666666,-0.502311337,0.029341735000000008,-0.5011514010716205,-0.334874218095494,-0.6682018746666666,-0.5772606446666667,-0.446682107,3134.2400390625,3099.8870361328127,56.75943848284084,28.307126844980303,28.260949157798148,30.411793626083636,1804.199951171875,40.619998931884766,96.87999725341797,0.6499999761581421,29.43000030517578,82910000.0
2020-07-08,8.061467920763222,-0.334874218095494,-0.6682018746666666,-0.502311337,0.029341735000000008,-0.5011514010716205,-0.334874218095494,-0.6682018746666666,-0.5772606446666667,3148.17001953125,3103.7520263671877,58.912584490607834,30.797236480555057,28.76820662234953,26.698162456789582,1815.5,40.900001525878906,96.43000030517578,0.652999997138977,28.079999923706055,54638600.0
2020-07-09,8.055808329287027,-0.5772606446666667,-0.334874218095494,-0.6682018746666666,-0.502311337,0.029341735000000008,-0.5011514010716205,-0.334874218095494,-0.6682018746666666,3155.4080078125,3113.9240234375,56.703077434441816,30.970097482473648,29.208584794374357,19.750628783079414,1799.199951171875,39.619998931884766,96.69999694824219,0.6050000190734863,29.260000228881836,83354200.0
2020-07-10,8.066220139061471,-0.9413070299999999,-0.5772606446666667,-0.334874218095494,-0.6682018746666666,-0.502311337,0.029341735000000008,-0.5011514010716205,-0.334874218095494,3166.414013671875,3124.0520263671874,59.70434473925546,33.38427444019544,30.043722723538576,17.231421122740773,1798.199951171875,40.54999923706055,96.6500015258789,0.6330000162124634,27.290000915527344,57550400.0
2020-07-13,8.056813493845413,-0.7752603340572964,-0.9608493,-0.57744726493106,-0.9413070299999999,-0.5772606446666667,-0.334874218095494,-0.6682018746666666,-0.502311337,3161.514013671875,3138.6690185546877,55.930309085573406,32.51646717965468,30.538271614761797,15.936558608320219,1811.0,40.099998474121094,96.45999908447266,0.6399999856948853,32.189998626708984,102997500.0
2020-07-14,8.070130794428316,-0.502311337,-0.7752603340572964,-0.9608493,-0.57744726493106,-0.9413070299999999,-0.5772606446666667,-0.334874218095494,-0.6682018746666666,3171.95400390625,3153.097021484375,59.811123259544736,34.84036604523908,31.398690500857256,19.397920080498203,1810.5999755859375,40.290000915527344,96.26000213623047,0.6150000095367432,29.520000457763672,93657000.0
2020-07-15,8.07917185136467,-0.5011514010716205,-0.502311337,-0.7752603340572964,-0.9608493,-0.57744726493106,-0.9413070299999999,-0.5772606446666667,-0.334874218095494,3183.27802734375,3165.7240234375,62.26773609910382,38.58062763385715,32.835077927457235,30.99078266401423,1811.4000244140625,41.20000076293945,96.08000183105469,0.6299999952316284,27.760000228881836,87196500.0
2020-07-16,8.075759936150556,-0.9413070299999999,-0.5011514010716205,-0.502311337,-0.7752603340572964,-0.9608493,-0.57744726493106,-0.9413070299999999,-0.5772606446666667,3195.98203125,3175.69501953125,60.754202836454354,40.1946723625515,34.306996814476086,27.849349790637145,1798.699951171875,40.75,96.3499984741211,0.6119999885559082,28.0,54622500.0
2020-07-17,8.07860449873814,-0.33234890333333333,-0.9413070299999999,-0.5011514010716205,-0.502311337,-0.7752603340572964,-0.9608493,-0.57744726493106,-0.9413070299999999,3203.92001953125,3185.1670166015624,61.592170655311044,41.731883616122104,35.79197417480529,29.555051330234768,1808.300048828125,40.59000015258789,95.94000244140625,0.628000020980835,25.68000030517578,62774900.0
